
--- START OF DATA.TXT ---
5s | T:24.3 C | H:43% | Soil:0
10s | T:24.6 C | H:43% | Soil:0
15s | T:24.7 C | H:43% | Soil:0
20s | T:24.7 C | H:43% | Soil:0
25s | T:24.7 C | H:43% | Soil:0
30s | T:24.8 C | H:43% | Soil:0
35s | T:24.8 C | H:43% | Soil:0
40s | T:24.8 C | H:43% | Soil:0
45s | T:24.9 C | H:43% | Soil:0
50s | T:24.9 C | H:42% | Soil:0
55s | T:24.9 C | H:42% | Soil:0
60s | T:25.0 C | H:42% | Soil:0
65s | T:25.0 C | H:42% | Soil:0
70s | T:25.0 C | H:42% | Soil:0
75s | T:25.0 C | H:42% | Soil:0
80s | T:25.0 C | H:42% | Soil:0
85s | T:25.0 C | H:42% | Soil:0
90s | T:25.0 C | H:42% | Soil:0
95s | T:25.0 C | H:42% | Soil:0
100s | T:25.1 C | H:42% | Soil:0
105s | T:25.1 C | H:42% | Soil:0
110s | T:25.1 C | H:42% | Soil:0
115s | T:25.1 C | H:42% | Soil:0
120s | T:25.1 C | H:42% | Soil:0
125s | T:25.1 C | H:42% | Soil:0
130s | T:25.1 C | H:42% | Soil:0
135s | T:25.1 C | H:42% | Soil:0
140s | T:25.2 C | H:42% | Soil:0
5s | T:24.2 C | H:42% | Soil:0
10s; T:24.7; H:42; S:0
20s; T:24.8; H:42; S:0
30s; T:24.9; H:42; S:0
40s; T:24.8; H:42; S:0
50s; T:24.8; H:42; S:0
60s; T:24.8; H:42; S:0
70s; T:24.8; H:42; S:0
80s; T:24.9; H:42; S:0
90s; T:24.9; H:42; S:0
100s; T:24.7; H:42; S:0
10s; T:24.3; H:43; S:0
20s; T:24.5; H:43; S:0
30s; T:24.7; H:43; S:0
40s; T:24.8; H:42; S:0
10s; T:24.9; H:42; S:0
20s; T:25.0; H:42; S:0
30s; T:24.7; H:43; S:0
40s; T:24.8; H:43; S:0
50s; T:24.8; H:43; S:0
60s; T:24.9; H:42; S:0
70s; T:25.0; H:42; S:0
80s; T:24.8; H:43; S:0
90s; T:24.8; H:43; S:0
100s; T:24.8; H:43; S:0
110s; T:24.9; H:42; S:0
120s; T:25.0; H:42; S:0
130s; T:24.8; H:43; S:0
140s; T:24.8; H:43; S:0
150s; T:24.8; H:43; S:0
160s; T:24.9; H:42; S:0
12s; T:24.9; H:42; S:0
22s; T:24.7; H:42; S:0
32s; T:24.8; H:42; S:0
42s; T:24.8; H:42; S:0
52s; T:24.9; H:42; S:0
62s; T:25.0; H:43; S:0
72s; T:25.0; H:46; S:0
82s; T:24.9; H:44; S:0
92s; T:24.8; H:43; S:0
102s; T:24.9; H:43; S:0
112s; T:25.0; H:43; S:0
122s; T:24.7; H:42; S:0
132s; T:24.8; H:42; S:0
142s; T:24.8; H:42; S:0
152s; T:24.8; H:42; S:0
162s; T:24.8; H:42; S:0
10s; T:24.8; H:42; S:0
20s; T:24.8; H:42; S:0
30s; T:24.8; H:42; S:0
40s; T:24.8; H:42; S:0
50s; T:24.9; H:42; S:0
60s; T:24.8; H:42; S:0
70s; T:24.8; H:42; S:0
80s; T:24.8; H:42; S:0
90s; T:24.8; H:42; S:0
10s; T:24.8; H:42; S:0
20s; T:24.8; H:42; S:0
30s; T:24.8; H:42; S:0
40s; T:24.9; H:42; S:0
50s; T:24.9; H:42; S:0
60s; T:24.8; H:42; S:0
70s; T:24.8; H:42; S:0
80s; T:24.8; H:42; S:0
90s; T:24.9; H:42; S:0
100s; T:25.0; H:42; S:0
110s; T:24.8; H:42; S:0
120s; T:24.8; H:42; S:0
130s; T:24.8; H:42; S:0
140s; T:24.9; H:42; S:0
